(S(NP(NP(DT A)(NN boy))(PP(IN with)(NP(DT a)(NN telescope))))(VP(VBD saw)(NP(DT a)(NN girl))))
6.581619798335054E-4
S # 0 # 7 # 6.581619798335054E-4 # 1.0
NP # 0 # 4 # 0.005183025591188856 # 0.12698412698412698
NP # 0 # 1 # 0.19047619047619047 # 0.0034553503941259036
DT # 0 # 0 # 0.6666666666666666 # 9.872429697502581E-4
NN # 1 # 1 # 0.3333333333333333 # 0.0019744859395005162
PP # 2 # 4 # 0.19047619047619047 # 0.0034553503941259036
IN # 2 # 2 # 1.0 # 6.581619798335054E-4
NP # 3 # 4 # 0.19047619047619047 # 0.0034553503941259036
DT # 3 # 3 # 0.6666666666666666 # 9.872429697502581E-4
NN # 4 # 4 # 0.3333333333333333 # 0.0019744859395005162
VP # 5 # 7 # 0.12698412698412698 # 0.005183025591188856
VBD # 5 # 5 # 1.0 # 6.581619798335054E-4
NP # 6 # 7 # 0.19047619047619047 # 0.0034553503941259036
DT # 6 # 6 # 0.6666666666666666 # 9.872429697502581E-4
NN # 7 # 7 # 0.3333333333333333 # 0.0019744859395005162
